customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9986-BONCE,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.65,4896.35,No
0384-RVBPI,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.15,2560.1,No
7615-ESMYF,Female,1,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,98.65,1470.95,Yes
3528-HFRIQ,Male,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,91.65,606.25,No
7363-QTBIW,Male,0,Yes,No,34,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.45,5289.05,Yes
1025-FALIX,Male,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.95,370.65,Yes
1589-AGTLK,Male,0,No,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.55,631.4,No
6110-OHIHY,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,4483.95,No
3541-ZNUHK,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72.9,5886.85,No
2115-BFTIW,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,1700.9,No
1928-BXYIV,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),69.9,3414.65,No
3737-GCSPV,Male,1,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.85,5127.95,No
0862-PRCBS,Male,0,Yes,Yes,50,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,85.9,6767.1,No
0820-FNRNX,Female,0,No,No,33,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,21.05,415.55,No
7225-CBZPL,Female,0,Yes,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),45.6,1188.2,No
5325-UWTWJ,Male,0,No,No,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,101.35,425.1,No
9445-SZLCH,Male,1,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.65,54.75,Yes
5356-KZCKT,Male,1,Yes,No,52,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,104.65,50.15,No
6705-LNMDD,Male,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.6,3741.85,No
8132-YPVBX,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.5,1553.2,No
1088-AUUZZ,Male,0,No,Yes,55,Yes,Yes,DSL,No,No,Yes,No internet service,No,Yes,One year,No,Electronic check,70.7,7723.9,Yes
7566-DSRLQ,Male,1,No,Yes,65,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),77.4,7323.15,Yes
9313-CDOGY,Male,0,Yes,No,2,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,73.75,2191.7,No
8942-DBMHZ,Male,0,Yes,No,9,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.0,3023.65,No
0428-AXXLJ,Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,40.2,434.5,Yes
2592-SEIFQ,Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,396.3,No
7465-ZZRVX,Female,1,Yes,Yes,71,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,90.95,223.9,Yes
9339-FIIJL,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.65,5731.85,No
4922-CVPDX,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Mailed check,64.2,459.6,No
1345-GKDZZ,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.6,74.9,No
9873-MNDKV,Male,0,No,No,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,70.6,4816.7,No
4024-CSNBY,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.9,2499.3,Yes
4423-JWZJN,Male,0,No,No,5,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,50.15,85,No
0549-CYCQN,Female,0,No,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),81.0,2320.8,No
3312-ZWLGF,Male,0,Yes,Yes,29,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,59.9,6585.35,No
2931-XIQBR,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,70.1,2460.35,Yes
3528-HFRIQ,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,110.6,4993.4,Yes
4749-OJKQU,Male,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.85,1405.3,No
7789-CRUVC,Female,0,Yes,Yes,72,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),78.45,536.35,No
3158-MOERK,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),35.1,442.6,No
4749-OJKQU,Male,0,No,No,51,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),109.55,186.15,Yes
6360-SVNWV,Female,0,Yes,Yes,40,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,79.85,5329,No
2197-OMWGI,Male,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.75,107.25,No
0980-PVMRC,Female,1,Yes,No,61,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,45.4,608.8,No
7163-OCEQI,Female,0,No,Yes,14,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,Yes,One year,No,Mailed check,20.8,4576.3,No
7131-ZQZNK,Male,0,Yes,Yes,44,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,65.6,331.85,No
2888-ADFAO,Female,1,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,74.35,No
5844-QVTAT,Female,1,No,Yes,55,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,74.3,7493.05,No
4548-SDBKE,Male,0,Yes,Yes,19,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.75,276.5,No
9127-QRZMH,Female,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.35,786.3,Yes
2277-VWCNI,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.9,2743.45,No
2848-YXSMW,Female,1,No,Yes,17,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,Yes,One year,No,Electronic check,84.7,3972.25,No
4847-QNOKA,Female,0,No,Yes,25,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),75.2,371.9,No
5913-INRQV,Male,1,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.7,24,Yes
5996-DAOQL,Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.9,6297.65,Yes
9763-GRSKD,Male,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.05,226.2,No
1085-LDWAM,Female,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,5163.3,No
0324-BRPCJ,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),24.75,3915.4,No
3164-YAXFY,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.2,1813.35,Yes
9822-BIIGN,Female,0,No,No,5,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,90.6,3121.4,No
1623-NLDOT,Female,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),80.6,158.4,No
8967-SZQAS,Female,0,Yes,Yes,21,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.5,84.2,Yes
9309-BZGNT,Female,0,No,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),84.15,4779.45,Yes
2777-PHDEI,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,2597.6,No
1591-XWLGB,Male,0,Yes,No,12,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),69.85,5835.5,No
2831-EBWRN,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.9,112.3,No
5515-IDEJJ,Male,1,No,No,49,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.25,38.25,No
6862-CQUMB,Male,1,Yes,No,30,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,79.15,8477.7,Yes
1755-FZQEC,Male,0,Yes,Yes,72,No,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,55.0,1139.2,No
5201-CBWYG,Male,0,Yes,Yes,37,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),25.2,108.65,No
2192-OZITF,Male,0,Yes,Yes,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),98.7,4414.3,No
7410-YTJIK,Male,0,No,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,95.6,5011.15,Yes
8095-WANWK,Male,0,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.45,20.25,No
0927-LCSMG,Male,0,Yes,No,55,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,70.25,235.5,No
7853-GVUDZ,Male,0,Yes,No,45,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,54.55,404.35,No
4825-XJGDM,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,103.75,167.3,Yes
2801-NISEI,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),69.9,126.05,No
5504-WSIUR,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,99.5,1470.95,No
5473-KHBPS,Male,0,No,No,49,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),50.1,835.5,Yes
8469-SNFFH,Male,0,Yes,Yes,65,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),104.65,2762.75,No
7905-NJMXS,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,85.9,70.85,No
8295-KMENE,Male,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,1337.45,No
1391-UBDAR,Female,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,84.5,531.55,No
1171-TYKUR,Female,0,Yes,Yes,67,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,105.5,929.2,No
6344-SFJVH,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.75,44.15,Yes
5498-TXHLF,Male,1,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,70.85,4145.25,Yes
7912-SYRQT,Female,0,Yes,No,46,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.35,613.95,Yes
4719-UMSIY,Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.7,2419,No
3845-FXCYS,Male,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.85,3582.4,No
1345-GKDZZ,Male,0,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.45,19.9,No
2325-ZUSFD,Male,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.5,720.45,No
6723-WSNTY,Male,0,Yes,Yes,33,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,98.35,609.1,Yes
1202-KKGFU,Female,1,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,50.7,5464.65,No
4548-SDBKE,Female,0,No,No,67,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,84.5,76.2,No
6922-NCEDI,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,97.8,1025.15,No
7398-HPYZQ,Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.7,4304,No
0756-MPZRL,Female,0,No,Yes,71,No,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.45,704.3,Yes
4012-ZTHBR,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,90.05,5835.5,No
7599-FKVXZ,Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,73.65,2344.5,No
2809-ILCYT,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,66.5,443.9,Yes
4132-KALRO,Male,1,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.1,6301.7,No
9800-OUIGR,Male,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,69.7,6470.1,No
7404-JLKQG,Female,0,Yes,Yes,41,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.25,847.3,No
4926-UMJZD,Female,0,Yes,Yes,38,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),104.05,635.6,No
3776-EKTKM,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,45.85,1772.25,No
6959-GQEGV,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,59.7,457.1,No
9121-PHQSR,Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Two year,No,Credit card (automatic),25.15,953.45,No
3244-CQPHU,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.1,980.35,No
6505-OZNPG,Male,0,No,No,43,Yes,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,59.7,4137.2,No
3021-VLNRJ,Male,0,No,No,6,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.2,4092.85,Yes
8480-PPONV,Male,0,No,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.85,3688.6,No
3071-VBYPO,Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),55.25,172.35,No
1264-BYWMS,Male,0,Yes,Yes,3,No,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,90.95,673.2,No
1619-YWUBB,Male,0,Yes,No,1,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,85.45,418.8,Yes
2208-NKVVH,Male,0,Yes,No,17,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.9,7470.1,No
6919-ELBGL,Male,0,Yes,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),79.6,878.35,No
5044-XDPYX,Male,0,No,No,4,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.4,1691.9,Yes
3546-GHEAE,Male,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.0,1581.95,No
2775-SEFEE,Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),70.35,19.4,No
4238-HFHSN,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.75,4103.9,No
3571-RFHAR,Male,1,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.35,59.2,No
7789-HKSBS,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,86.45,1993.2,No
4024-CSNBY,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),105.5,1958.95,No
5673-TIYIB,Male,0,No,No,3,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,70.0,4304,Yes
1310-QRITU,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.6,6362.35,No
3466-BYAVD,Female,0,Yes,No,18,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,67.4,3771.5,Yes
6202-DYYFX,Male,0,No,No,13,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,25.2,5011.15,Yes
9092-GDZKO,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.5,214.75,No
6481-ESCNL,Female,1,No,No,27,No,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Electronic check,20.75,135,No
7244-QWYHG,Male,0,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.55,1734.5,No
6215-NQCPY,Female,0,Yes,Yes,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),25.5,754.65,No
7147-AYBAA,Female,1,No,Yes,34,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,91.15,4741.45,No
1345-GKDZZ,Male,0,Yes,No,10,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,94.2,367.95,No
0927-LCSMG,Female,0,Yes,Yes,23,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),104.45,635.6,Yes
4940-KHCWD,Male,0,Yes,Yes,64,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),89.15,74.9,No
1506-YJTYT,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.1,6941.2,Yes
4123-DVHPH,Male,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,94.2,892.15,No
8774-GSBUN,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),69.0,44.75,No
4836-WNFNO,Male,0,No,No,26,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,86.55,931.75,No
2753-JMMCV,Male,1,Yes,No,1,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.2,79.7,Yes
6900-PXRMS,Male,1,Yes,No,34,No,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,45.05,243.65,Yes
0725-CXOTM,Female,0,Yes,No,23,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,86.05,2320.8,No
7398-SKNQZ,Female,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),106.05,1156.55,No
